mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_kernel,param_gamma,params,split0_test_MAE,split1_test_MAE,split2_test_MAE,split3_test_MAE,split4_test_MAE,mean_test_MAE,std_test_MAE,rank_test_MAE,split0_test_MSE,split1_test_MSE,split2_test_MSE,split3_test_MSE,split4_test_MSE,mean_test_MSE,std_test_MSE,rank_test_MSE
3.4256078720092775,0.20685764134537116,0.4218025207519531,0.020808155466399785,1e-05,linear,,"{'C': 1e-05, 'kernel': 'linear'}",-34.80434099066637,-34.580723321615274,-36.07417146887966,-35.99147110116315,-36.233589068687735,-35.536859190202435,0.6973647123032959,4,-2271.256927888087,-2222.2413045945327,-2557.260489309169,-2384.4119681867846,-2407.404333159356,-2368.5150046275858,116.82900335461738,1
4.416811752319336,0.2910679188768017,0.43359994888305664,0.024823883110150557,0.0001,linear,,"{'C': 0.0001, 'kernel': 'linear'}",-34.68230905907972,-34.610108827387776,-36.18314184823177,-35.82639499147878,-35.955080850820906,-35.45140711539979,0.6676875748191267,1,-2282.146006468672,-2276.1083819820856,-2697.0331559644037,-2382.595769482892,-2373.602653176814,-2402.297193414973,153.909541107639,2
11.215228080749512,0.6150187544553787,0.4100012302398682,0.008099025265444627,0.001,linear,,"{'C': 0.001, 'kernel': 'linear'}",-34.68655123753841,-34.69131935729767,-36.20091346102165,-35.80777375106228,-35.935311376660465,-35.46437383671609,0.645727111063862,2,-2287.1575670977195,-2310.324539826677,-2713.552014722174,-2373.3241284332867,-2364.809488848604,-2409.8335477856926,155.27810511827496,3
61.09124784469604,2.4403410665287195,0.4564015865325928,0.02602694749318373,0.01,linear,,"{'C': 0.01, 'kernel': 'linear'}",-34.69407697775477,-34.696115687993625,-36.187515696983716,-35.817065111475394,-35.933024977945884,-35.46555969043068,0.6403951874112793,3,-2284.322508231684,-2313.937961796397,-2709.535514069112,-2375.9395297100223,-2368.512829901977,-2410.449668741838,153.37833042440042,4
7.616420078277588,0.20163902693552194,3.0556071281433104,0.09899147821162804,1,rbf,0.001,"{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}",-260.77501208690626,-252.79088352997834,-262.2718678669549,-263.66445766511475,-260.4033540755105,-259.981115044893,3.7768385959713098,15,-92143.94168344673,-87763.77951619627,-91549.04637548042,-93310.44329083695,-91591.16161143567,-91271.67449547921,1865.5702940862475,16
8.079821491241455,0.2668394522398103,3.2618079662322996,0.1714127263080996,1,rbf,0.01,"{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}",-264.9233301948231,-257.0631408433001,-266.52933964231346,-267.9297368570272,-264.6741466973456,-264.2239388469619,3.7687312224107536,18,-94608.51864982702,-90239.17967536076,-94064.26904338924,-95844.73019108872,-94100.80788981117,-93771.50108989539,1879.9110574871595,18
8.245821475982666,0.30637477306298233,3.44740834236145,0.12335122588840114,1,rbf,0.1,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",-265.30345890312606,-257.4714989293318,-266.9206244019203,-268.32357951514257,-265.06795509763515,-264.61742336943115,3.762397854232678,19,-94829.28609017929,-90471.01885592443,-94289.7372639658,-96076.78227864901,-94327.91023763461,-93998.94694527063,1878.6119998004401,19
8.515639877319336,0.10933911869632519,3.548863744735718,0.17124286233005762,1,rbf,1,"{'C': 1, 'gamma': 1, 'kernel': 'rbf'}",-265.32844450643245,-257.4990740508183,-266.9497864943888,-268.3514339577582,-265.096187904613,-264.64498538280213,3.762568751709445,20,-94845.89715265443,-90487.99932973177,-94307.90788743821,-96094.51767404008,-94345.31373072624,-94016.32715491815,1878.7980704448128,20
11.027082490921021,0.25613834994386064,3.3806089878082277,0.18287597681048154,100.0,rbf,0.001,"{'C': 100.0, 'gamma': 0.001, 'kernel': 'rbf'}",-70.82043829219897,-64.46481758947374,-70.71726034210502,-68.0431706797482,-68.90050979327016,-68.58923933935921,2.3200283275294793,7,-13013.429145446833,-11190.802805100133,-13199.146538845713,-12230.73566203297,-12733.854491752078,-12473.593728635544,719.7384825732837,7
9.063423442840577,0.1736079858903809,3.4422089576721193,0.129513522291995,100.0,rbf,0.01,"{'C': 100.0, 'gamma': 0.01, 'kernel': 'rbf'}",-227.5910794138383,-217.6462545926794,-227.57501305690565,-228.29349886057048,-226.02665506169066,-225.42650019713687,3.9601414004357167,10,-74377.03871644067,-69630.19485913828,-73611.21485604749,-74661.05834891653,-73679.7236903246,-73191.84609417351,1825.5147454158464,10
9.077623844146729,0.221317261147331,3.488608551025391,0.19197428599057073,100.0,rbf,0.1,"{'C': 100.0, 'gamma': 0.1, 'kernel': 'rbf'}",-261.2505295234958,-253.30269758230213,-262.20215069842635,-263.5811416347066,-260.55739750051106,-260.1787833878884,3.584483263855391,16,-92112.14838341183,-87942.43936388417,-91479.86151684815,-93095.4021298536,-91575.8545709826,-91241.14119299609,1746.2755420334486,15
8.982022142410278,0.32429250141879584,3.7218713760375977,0.30180242719968653,100.0,rbf,1,"{'C': 100.0, 'gamma': 1, 'kernel': 'rbf'}",-263.5921228762629,-255.87896921800254,-265.0124744915161,-266.22848643191975,-263.15671332398733,-262.7737532683377,3.613903381852317,17,-93571.5999736612,-89429.81839400357,-93074.20499983452,-94652.75956707027,-93112.27886288094,-92768.1323594901,1763.7367903232728,17
110.82467269897461,6.782818386835186,3.325311040878296,0.1494074080437716,10000.0,rbf,0.001,"{'C': 10000.0, 'gamma': 0.001, 'kernel': 'rbf'}",-47.347920144225334,-44.31167469970107,-50.86159286717498,-47.009093864348806,-47.66262655192044,-47.43858162547413,2.0850625052243825,5,-6591.78988370089,-5788.615603772976,-7800.002005635116,-6773.916519710466,-7122.633433122353,-6815.39148918836,658.7627875267696,5
45.65493631362915,0.8631524909811287,3.5024094104766847,0.1343372543436585,10000.0,rbf,0.01,"{'C': 10000.0, 'gamma': 0.01, 'kernel': 'rbf'}",-181.48676680998818,-172.26480036785657,-182.30853094941975,-180.03412218963047,-179.15277849187763,-179.0493997617545,3.5657775753322496,8,-52958.28802275176,-48877.08242751883,-53564.157589345494,-52789.61596182863,-51732.71000879887,-51984.370802048725,1662.000903176417,9
41.75143547058106,2.195058819957431,3.591180849075317,0.1328862234447714,10000.0,rbf,0.1,"{'C': 10000.0, 'gamma': 0.1, 'kernel': 'rbf'}",-251.29206955993976,-244.52767780894195,-252.2580764527819,-253.02134175316868,-250.18669709986912,-250.2571725349403,3.018189404592738,12,-87647.10798593352,-83988.62496027924,-87260.66394727043,-88521.0104531249,-87144.67089740797,-86912.4156488032,1539.5532756561536,12
43.953734970092775,1.7076228203523531,3.692135238647461,0.32557738493284616,10000.0,rbf,1,"{'C': 10000.0, 'gamma': 1, 'kernel': 'rbf'}",-258.29714875908155,-251.62113102598394,-260.0992257567785,-260.20840428568386,-257.7673411274889,-257.59865019100334,3.1404071979502044,14,-91527.24727183244,-87812.34876451967,-91302.45841328379,-92431.28034544476,-90989.53612920773,-90812.57418485769,1575.0315498693835,14
122.46128644943238,6.428861407946153,2.4153427124023437,0.37506148889726143,100000.0,rbf,0.001,"{'C': 100000.0, 'gamma': 0.001, 'kernel': 'rbf'}",-48.10905934616252,-45.21308077787065,-51.92018815325012,-47.85785207263552,-48.07569360557351,-48.235174791098466,2.139910628595492,6,-6756.526125491083,-6014.969462957836,-8078.123475532482,-7071.99373699542,-7233.568362608117,-7031.036232716988,670.3485592495718,6
45.403988456726076,0.6884405399936996,3.6080087184906007,0.08893130323945189,100000.0,rbf,0.01,"{'C': 100000.0, 'gamma': 0.01, 'kernel': 'rbf'}",-181.49041131534855,-172.2865365940679,-182.2863104263862,-180.03791012674463,-179.14618821497905,-179.04947133550527,3.554123436269327,9,-52957.458132637636,-48881.65539540455,-53562.40905510137,-52789.2296324519,-51727.41990457073,-51983.63442403324,1659.985865301691,8
40.281806993484494,1.5271881792606123,3.7320108890533445,0.21080330953784762,100000.0,rbf,0.1,"{'C': 100000.0, 'gamma': 0.1, 'kernel': 'rbf'}",-251.29113052605024,-244.52732690954517,-252.25807613829525,-253.02123143511946,-250.18737239624548,-250.25702748105113,3.018234875087655,11,-87646.36131732969,-83988.43097814142,-87260.66390149643,-88520.97324190578,-87145.00039660404,-86912.28596709548,1539.557894674221,11
42.30685982704163,3.356763221636126,2.673119640350342,0.565981901768943,100000.0,rbf,1,"{'C': 100000.0, 'gamma': 1, 'kernel': 'rbf'}",-258.297125144247,-251.62111676684333,-260.09922557666454,-260.20840027906723,-257.7673731210762,-257.59864817757966,3.1404112248524108,13,-91527.22533263675,-87812.34298246237,-91302.45833707706,-92431.27972917398,-90989.5518024593,-90812.57163676189,1575.0319825161548,13
