mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_n_estimators,param_objective,params,split0_test_MAE,split1_test_MAE,split2_test_MAE,split3_test_MAE,split4_test_MAE,mean_test_MAE,std_test_MAE,rank_test_MAE,split0_test_MSE,split1_test_MSE,split2_test_MSE,split3_test_MSE,split4_test_MSE,mean_test_MSE,std_test_MSE,rank_test_MSE
0.2814016342163086,0.026211522294297657,0.010199451446533203,0.0017211497604352987,0.001,100,reg:squarederror,"{'learning_rate': 0.001, 'n_estimators': 100, 'objective': 'reg:squarederror'}",-240.42073725947628,-233.3320421572085,-241.6907218085395,-243.081756789596,-240.0658543610142,-239.71822247516693,3.36457399110817,12,-78042.03509234704,-74458.62605977624,-77499.11337864812,-78990.59020471755,-77580.92736492578,-77314.25842008294,1523.1327582288138,12
2.565234565734863,0.12638210882327772,0.09000015258789062,0.008944359414401176,0.001,1000,reg:squarederror,"{'learning_rate': 0.001, 'n_estimators': 1000, 'objective': 'reg:squarederror'}",-99.94862097280996,-97.74062023869267,-99.65404738673458,-100.72942999380606,-100.8124751293753,-99.77703874428371,1.110922613401109,11,-14078.194328722513,-13542.20008980349,-13834.649371569993,-14241.464338397309,-14314.902973020882,-14002.282220302837,283.01194590687624,11
23.567850494384764,0.43442460044994263,1.032612133026123,0.03098301862828642,0.001,10000,reg:squarederror,"{'learning_rate': 0.001, 'n_estimators': 10000, 'objective': 'reg:squarederror'}",-15.095710730552673,-15.475985503638233,-15.634562940067715,-15.796788066404837,-16.638398746916298,-15.728289197515952,0.5109968236875774,8,-517.777216596879,-533.3769581346618,-540.3852723747543,-583.9990168241546,-656.0922376319456,-566.3261403124791,49.9717080389644,8
220.1303008079529,2.195503973309455,10.054614973068237,0.34843582137321144,0.001,100000,reg:squarederror,"{'learning_rate': 0.001, 'n_estimators': 100000, 'objective': 'reg:squarederror'}",-9.01627875743089,-9.263612669927102,-9.399819020540626,-9.56019041919046,-9.992932490145183,-9.44656667144685,0.32626098828353595,5,-264.53421042472223,-256.63310152022507,-270.2177300557019,-293.378579526353,-371.409627133832,-291.2346497321668,41.91542662762902,4
0.28725390434265136,0.016283671550114866,0.010001325607299804,0.001094800219156958,0.01,100,reg:squarederror,"{'learning_rate': 0.01, 'n_estimators': 100, 'objective': 'reg:squarederror'}",-99.51221433568884,-97.35496762593587,-99.23035016942907,-100.29770551610876,-100.39711360392498,-99.3584702502175,1.0968151772579169,10,-13963.332637890659,-13440.167271266591,-13721.457760423698,-14130.796496356434,-14201.968982672597,-13891.544629721995,279.7961098884547,10
2.4764034748077393,0.09308657125185114,0.11219992637634277,0.015038675424808058,0.01,1000,reg:squarederror,"{'learning_rate': 0.01, 'n_estimators': 1000, 'objective': 'reg:squarederror'}",-15.250797540170176,-15.347951523462932,-15.598589489636598,-15.889298503045682,-16.71502539779147,-15.760332490821373,0.5261017972854527,9,-524.7904011624595,-519.7487672019951,-539.8649841661946,-591.3256417940789,-656.537312190496,-566.4534213030448,51.6871583681877,9
21.20874080657959,0.3856574144655421,1.1167689323425294,0.06863354749239228,0.01,10000,reg:squarederror,"{'learning_rate': 0.01, 'n_estimators': 10000, 'objective': 'reg:squarederror'}",-9.00002629911458,-9.21588159335984,-9.416454171472125,-9.566227266578762,-9.986331621437726,-9.436984190392607,0.33428323666602877,4,-268.9130751243864,-252.09318347167488,-280.18000900680016,-292.0003482702003,-369.50086104008574,-292.5374953826295,40.66991824029447,5
206.96652908325194,6.737915727717029,6.929010438919067,0.4978953284044306,0.01,100000,reg:squarederror,"{'learning_rate': 0.01, 'n_estimators': 100000, 'objective': 'reg:squarederror'}",-8.46126940647761,-8.658068325563713,-8.892745397267518,-8.972479542206836,-9.412791139276672,-8.87947076215847,0.3216112207545842,1,-257.41820446760335,-235.36090933798982,-266.608475320199,-279.7829952881709,-355.9578868552421,-279.02569425384104,41.10187379176668,1
0.2746593952178955,0.028496066710316067,0.010200166702270507,0.00039975749448679416,0.1,100,reg:squarederror,"{'learning_rate': 0.1, 'n_estimators': 100, 'objective': 'reg:squarederror'}",-15.226115113717539,-15.399986999564701,-15.592154241491247,-15.76990705386356,-16.446594128292872,-15.686951507385984,0.4213416348497373,7,-523.9230550015812,-522.646335849355,-547.653515257287,-581.2770725141444,-653.7047826475048,-565.8409522539745,48.809823521546114,7
2.1801513195037843,0.13604282002698795,0.11160030364990234,0.014402850792782794,0.1,1000,reg:squarederror,"{'learning_rate': 0.1, 'n_estimators': 1000, 'objective': 'reg:squarederror'}",-9.004688344619892,-9.470806156926685,-9.518755930882913,-9.714871719865886,-10.08734324774625,-9.559293080008326,0.35216510371100845,6,-261.28174620623344,-266.75210345493576,-286.7369461593588,-301.29769248125007,-382.02333197416067,-299.6183640551877,43.6101299301824,6
20.768928241729736,0.42748777831642637,1.087911319732666,0.0326608292715316,0.1,10000,reg:squarederror,"{'learning_rate': 0.1, 'n_estimators': 10000, 'objective': 'reg:squarederror'}",-8.524623742810002,-8.900186821266457,-9.048338334648697,-9.184659070218052,-9.532294381377099,-9.038020470064062,0.3312069899882663,3,-250.1862329707263,-248.36926214415013,-276.1662173746473,-289.1928570622308,-370.286340114397,-286.8401819332303,44.511242532242306,3
56.33003211021423,11.808591225844209,2.5821094512939453,0.6957374702635979,0.1,100000,reg:squarederror,"{'learning_rate': 0.1, 'n_estimators': 100000, 'objective': 'reg:squarederror'}",-8.524267107027548,-8.900185004318201,-9.047938347525067,-9.184395572432765,-9.531728818274141,-9.037702969915545,0.33112311837021874,2,-250.17866928620907,-248.35790130720306,-276.1590835169017,-289.203550540353,-370.2698567442593,-286.83381227898525,44.508727778969394,2
